"","X","Player","Age","Points"
"1",1,"Novak Djokovic",34,10940
"2",2,"Daniil Medvedev",25,7640
"3",3,"Alexander Zverev
",24,6540
"4",4,"Stefanos Tsitsipas",23,6540
"5",5,"Andrey Rublev
",24,4950
"6",6,"Rafael Nadal",35,4875
"7",7,"Matteo Berrettini",25,4568
"8",8,"Casper Ruud
",22,3760
"9",9,"Hubert Hurkacz",24,3706
"10",10,"Felix Auger-Aliassime
",21,3308
"11",11,"Jannik Sinner",20,3150
"12",12,"Cameron Norrie",26,2945
"13",13,"Diego Schwartzman",29,2625
"14",14,"Denis Shapovalov
",22,2475
"15",15,"Dominic Thiem",28,2425
"16",16,"Roger Federer",40,2385
"17",17,"Aslan Karatsev",28,2370
"18",18,"Cristian Garin",25,2353
"19",19,"Roberto Bautista Agut",33,2260
"20",20,"Pablo Carreno Busta",30,2230
"21",21,"Gael Monfils",35,2158
"22",22,"Nikoloz Basilashvili",29,2101
"23",23,"Taylor Fritz
",24,2050
"24",24,"John Isner",36,1991
"25",25,"Daniel Evans",31,1942
"26",26,"Reilly Opelka
",24,1936
"27",27,"Lorenzo Sonego",26,1825
"28",28,"Grigor Dimitrov
",30,1801
"29",29,"Karen Khachanov
",25,1731
"30",30,"Marin Cilic",33,1710
